"","Site_Visnum_Layer","UID","SITE_ID","VISNUM","Col_Date","Col_loc","Latitude","Longitude","REGION","SUBREGIONS","STATE","SAMPYEAR","CHLA..ug.L.","TN..mgN.L.","DIN..mgN.L.","TP..mgP.L.","DIP..mgP.L.","DIN.DIP..Molar.","TN.TP..Molar.","SECCHI_MEAN..m.","TSS..mg.L.","TS_Chla","TS_N","TS_P","TS_SD","TS_Chla_Q","predict_TSI","predict_Cat"
"1","NCCA10-1002_1_SURFACE",9087,"NCCA10-1002",1,"8/11/10","SURFACE",41.6629,-70.7272,"Northeast_A","NE3_CT RI MA Coast","MA",2010,2.82,0.323,0.034,0.057,0.038,2,12.6,3.5,NA,"Oligo","Meso","Meso","Eu","Meso",-55.5842802153045,"Meso"
"2","NCCA10-1003_1_SURFACE",9088,"NCCA10-1003",1,"8/13/10","SURFACE",41.4926,-70.966,"Northeast_A","NE3_CT RI MA Coast","MA",2010,4.79,0.209,0.036,0.043,0.031,2.6,10.7,2.1,NA,"Oligo","Meso","Meso","Meso","Eu",-89.6151550786585,"Oligo"
"3","NCCA10-1004_1_SURFACE",9089,"NCCA10-1004",1,"8/12/10","SURFACE",41.4942,-70.8529,"Northeast_A","NE3_CT RI MA Coast","MA",2010,2.05,0.251,0.036,0.037,0.023,3.4,15,2.6,NA,"Oligo","Meso","Meso","Meso","Meso",-85.2907619399312,"Oligo"
"4","NCCA10-1005_1_SURFACE",9090,"NCCA10-1005",1,"8/11/10","SURFACE",41.5991,-70.7326,"Northeast_A","NE3_CT RI MA Coast","MA",2010,4.01,0.4,0.034,0.053,0.036,2.1,16.8,2.8,NA,"Oligo","Meso","Meso","Meso","Meso",-32.8651141862409,"Meso"
"5","NCCA10-1006_1_SURFACE",9091,"NCCA10-1006",1,"8/13/10","SURFACE",41.5877,-70.871,"Northeast_A","NE3_CT RI MA Coast","MA",2010,3.23,0.246,0.035,0.079,0.058,1.3,6.9,2.8,NA,"Oligo","Meso","Meso","Meso","Meso",-58.4923162040161,"Meso"
"6","NCCA10-1008_1_SURFACE",9093,"NCCA10-1008",1,"8/28/10","SURFACE",41.6047,-71.0627,"Northeast_A","NE3_CT RI MA Coast","MA",2010,27.92,0.963,0.007,0.122,0.02,0.8,17.4,0.6,NA,"Eu","Meso","Eu","Oligo","Hyper",215.706326527992,"Eu"
"7","NCCA10-1009_1_SURFACE",9095,"NCCA10-1009",1,"8/12/10","SURFACE",41.4712,-70.7989,"Northeast_A","NE3_CT RI MA Coast","MA",2010,3.35,0.28,0.034,0.031,0.021,3.6,20.3,3,NA,"Oligo","Meso","Meso","Meso","Meso",-90.1924856576349,"Oligo"
"8","NCCA10-1011_1_SURFACE",9097,"NCCA10-1011",1,"8/11/10","SURFACE",41.6063,-70.6605,"Northeast_A","NE3_CT RI MA Coast","MA",2010,2.8,0.298,0.035,0.05,0.036,2.1,13.2,3.3,NA,"Oligo","Meso","Meso","Eu","Meso",-68.9110333089156,"Meso"
"9","NCCA10-1012_1_SURFACE",9098,"NCCA10-1012",1,"7/8/10","SURFACE",43.6764,-69.9662,"Northeast_A","NE1_North GOM","ME",2010,1.08,0.139,0.02,0.038,0.016,2.8,8.2,4.8,NA,"Oligo","Meso","Meso","Eu","Oligo",-128.165084909854,"Oligo"
"10","NCCA10-1014_1_SURFACE",9101,"NCCA10-1014",1,"8/19/10","SURFACE",43.6353,-70.1053,"Northeast_A","NE1_North GOM","ME",2010,1.01,0.188,0.018,0.027,0.011,3.6,15.4,6.2,NA,"Oligo","Meso","Meso","Eu","Oligo",-124.268851356803,"Oligo"
"11","NCCA10-1015_1_SURFACE",9102,"NCCA10-1015",1,"8/19/10","SURFACE",43.6726,-70.0626,"Northeast_A","NE1_North GOM","ME",2010,1.06,0.274,0.019,0.028,0.014,3,21.4,5.4,NA,"Oligo","Meso","Meso","Eu","Oligo",-92.0971378196335,"Oligo"
"12","NCCA10-1017_1_SURFACE",9104,"NCCA10-1017",1,"8/29/10","SURFACE",43.6247,-70.2038,"Northeast_A","NE1_North GOM","ME",2010,2.66,0.236,0.042,0.045,0.027,3.4,11.7,3.2,NA,"Oligo","Meso","Meso","Eu","Meso",-88.9069716997806,"Oligo"
